title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Please Don't Stay,R.L. Burnside,5QCKfr2ckdL5kf9wCQtzUu,0.868,0.578,0,-10.124,0,0.0933,0.0655,0.521,0.0546,0.576,102.012
Daddy Was a Wolfman,Son Of Dave,7i10VbOnkG09EuZuOkz3gO,0.658,0.733,10,-8.018,0,0.127,0.44,0.174,0.21,0.687,179.901
Beauty Beats,Beats Antique,0Jk5J9HrDmCEKV7xYmaB6m,0.601,0.755,8,-5.528,1,0.0405,0.0575,0.887,0.347,0.508,180.02
This Is For Everyone - Original Mix,Jamie Berry,1uGvKTjvBCN1NYzS2DIjCr,0.674,0.65,5,-6.124,1,0.0398,0.182,0.0276,0.27,0.818,115.999
Come on Jump Right In,Akolo,1dqcArKoJmhj8cjg26Mu5Q,0.636,0.941,0,-6.399,1,0.0556,0.272,0.296,0.295,0.613,129.934
Ride On,Little Axe,4sEDI5vsiNsdefE0K93181,0.764,0.645,2,-6.731,1,0.0438,0.0334,0.125,0.0389,0.491,88.168
Left Behind,Scarecrow,5gSHmVV30dqKESS4nYGpXg,0.798,0.693,11,-7.454,0,0.289,0.564,2.41e-05,0.104,0.771,100.99
Crossroads,Mason Murphy,1b8s2ikwLa1ZmJYAdOZAjR,0.698,0.774,7,-5.144,1,0.0654,0.0887,0.00297,0.117,0.531,90.033
Wolves,Rag'n'Bone Man,2oLo4vGUIP3eJ9T001keTu,0.787,0.779,2,-4.955,1,0.102,0.11,8.03e-06,0.213,0.412,103.992
Can't Help Myself - E-Z Rollers Remix,Gary Moore,2e8IYlqaTSYo7zNR0DTi5m,0.403,0.848,8,-7.418,1,0.078,0.0118,0.51,0.339,0.311,96.863
Love Me - KR3TURE Remix,DJ Taz Rashid,4eBIob5CXTTQ2PvmeENC0S,0.732,0.432,5,-10.302,0,0.0535,0.627,0.929,0.108,0.24,99.014
Midnight Dream,Little Axe,0v1JpYiFmnpgbxxzh5Oqul,0.742,0.775,2,-4.581,0,0.105,0.347,4.32e-05,0.345,0.679,89.899
The Killing Ground,Recoil,5oHvJvrcAUUn5atYP3Ne1u,0.504,0.5,2,-11.329,1,0.0377,0.117,0.548,0.137,0.0753,92.042
Good & Gone - Original Mix,K Theory,4HYfEF1lvUPH9IsXrY30Kj,0.854,0.846,11,-3.055,0,0.0885,0.00692,0.00211,0.0549,0.799,102.99
Mr. E's Beautiful Blues - Remix,Eels,1cXPXMbHhNZHQYan1C8fzD,0.8,0.649,0,-8.248,1,0.0293,0.453,0.000152,0.0804,0.864,114.074
The Fire,Rag'n'Bone Man,5Opv3rAPRL93wJ9yXGJPiM,0.645,0.709,9,-6.459,0,0.159,0.0533,7.75e-05,0.241,0.379,78.226
Heavy On My Heart,Caiti Baker,3EaoAfUtmDpe3DEtmEmCQf,0.626,0.689,11,-6.407,0,0.0956,0.0156,8.05e-05,0.152,0.578,183.806
Cold Wind Blows,Gary Moore,5O61SnNgvNtA7NIJFQaDIi,0.608,0.739,4,-10.582,0,0.0416,0.0102,0.552,0.202,0.268,97.884
Code Name Loppsi - My Lowd demo,Scarecrow,2oyCx8VFX4bVV7IeLKz1wh,0.648,0.711,4,-8.13,0,0.402,0.144,0.0,0.0961,0.761,92.214
Chains,Little Axe,6krEKtL2aCEXIHTJY8QrKj,0.69,0.442,11,-8.788,0,0.0304,0.0849,0.0144,0.123,0.32,140.003
Roy's Toy,Jeff Beck,1kwHwsKwvZJugHc9rqBeaC,0.716,0.895,5,-5.419,1,0.0932,0.0266,0.753,0.0992,0.577,99.96
I Had a Woman,Wax Tailor,0Kjik5WcvlKs4zeA6X5Lb6,0.569,0.566,7,-7.644,1,0.369,0.122,0.106,0.354,0.459,180.057
Idol (Should I Know),Mississippi Big Beat,676LOrrQHW9WOz8VL5LYVC,0.749,0.677,10,-5.502,0,0.16,0.121,0.0568,0.507,0.242,140.015
Multiball,Vidar Busk,22MiGH2lQBET7dtLo5Iua8,0.557,0.843,4,-6.557,0,0.0893,0.137,0.906,0.21,0.451,169.734
Right Now,Rag'n'Bone Man,2CPIE5QUfKjUKFNcKQXgnU,0.428,0.975,6,-4.091,1,0.605,0.255,0.00628,0.266,0.603,78.367
Swamp Thang,The Soul Of John Black,1Y3xPsuvx57Jtck6U92SNj,0.782,0.681,1,-6.233,1,0.0805,0.00617,0.00172,0.244,0.73,170.089
Keisha Complexion,Shea Diamond,0gm0OruZdJlu8jamJe5OCh,0.634,0.745,9,-7.405,1,0.258,0.159,8.17e-05,0.408,0.75,176.048
Step Aside,Goodbye June,6CBRLsIvAeKj1MiPhHnPO9,0.683,0.725,1,-5.551,1,0.0436,0.0208,0.00295,0.0707,0.259,127.933
My Lucky Card,Billy F Gibbons,4Ri5DZQb98Ho6SbRuDvB4b,0.527,0.896,7,-4.552,1,0.0346,0.00772,0.000245,0.587,0.547,88.064
Low Down Rolling Stone,Gary Clark Jr.,59oXRNRnmmTbwgkZkV7l4g,0.337,0.809,0,-2.969,0,0.0327,0.00738,0.000272,0.319,0.319,145.879
Holy Ghost Fire,Larkin Poe,3VuJi1qJ2gcL7XHjEJZuga,0.522,0.811,4,-5.343,0,0.0372,0.0263,0.0,0.299,0.466,92.889
Blinded,Dirty Streets,027LnYtc3AvNAtEPVljiRB,0.523,0.779,0,-7.272,0,0.0364,0.00775,0.00437,0.133,0.899,89.485
Shooting Stars,Rival Sons,00kbL0ei9bVKAp9I23vF1l,0.396,0.708,9,-4.864,1,0.0446,0.318,0.0,0.106,0.204,94.863
Sugar and Spice,Jocelyn & Chris Arndt,3pHvVcToKzumdjDX9tFEA9,0.667,0.6,2,-4.02,1,0.0656,0.3,4.37e-05,0.423,0.841,151.964
In The Night Time,The Cold Stares,2iYYrWUWbIeRDFhywfvKLr,0.679,0.728,2,-9.478,1,0.0325,0.0795,0.0127,0.151,0.748,120.014
Steep Climb,Eric Gales,211wEoUVThC6SoFSYLKUHa,0.482,0.822,11,-7.153,1,0.0589,0.00344,0.013,0.17,0.562,78.98
Mercy,The Karma Effect,2krcU3B5QoN7aUw648THOk,0.613,0.902,9,-3.031,1,0.0359,0.0013,2.33e-06,0.832,0.83,122.986
Off The Ground,The Record Company,3xRzUblYGZhVs52fMjii7R,0.543,0.696,7,-4.572,1,0.0426,0.601,0.215,0.384,0.849,92.15
Love & Peace,Seasick Steve,7qqRahwHKrtbNSLgu6Wtg9,0.494,0.707,10,-12.736,0,0.0774,0.345,0.000792,0.193,0.669,107.987
Crawling Kingsnake - Edit,The Black Keys,6ReF4Cn3aG4ehqC4NdrLrV,0.395,0.824,5,-5.659,0,0.0317,0.0516,0.395,0.206,0.514,83.422
Between Me and the Devil,Ghost Hounds,3psWJDKW0A50XiCdqg4HVK,0.438,0.852,4,-6.206,0,0.0895,0.00527,4.07e-05,0.14,0.666,179.966
Taking Me Back,Jack White,7s7m8L8NcIYzgw0qmoghA8,0.678,0.746,7,-6.337,1,0.128,0.000994,0.000293,0.061,0.431,116.98
Hard Times,The Cold Stares,0A9wTufPFplgsSACJLUtX6,0.366,0.826,2,-8.324,1,0.0625,0.000299,0.027,0.327,0.768,174.016
Notches,Joe Bonamassa,4aDBXR6cHLtxaO37iaQPml,0.47,0.801,2,-8.24,0,0.0314,0.00487,0.00358,0.0752,0.366,81.999
Out Of My Head,The Record Company,3jY3MsPBiiHdmD5Txx8vze,0.487,0.702,11,-5.888,0,0.0328,0.0266,0.00348,0.162,0.496,93.136
The Heat,The Bones of J.R. Jones,0XEUKN8CnHAKNmWmK1FG0d,0.588,0.841,2,-4.374,1,0.0802,0.144,0.000511,0.0369,0.682,92.992
Tell Me,Bones Owens,51X5Rk23XIUiUid7GVlQZf,0.591,0.42,10,-6.986,1,0.0317,0.0146,0.000121,0.101,0.52,129.918
One Way Out,Melissa Etheridge,19rYgN2ghhCLtXg8Uf1FwS,0.444,0.887,7,-4.384,1,0.0534,0.00653,0.0529,0.329,0.406,97.861
In Stride,Myles Kennedy,1l6y7uGONbXJ9Rfr42K01e,0.408,0.906,7,-4.594,1,0.106,0.00367,0.0,0.329,0.454,135.051
Suit in the Back,Quaker City Night Hawks,4EzxzCXgjuHFgWx1j2xDHc,0.744,0.562,10,-8.883,0,0.0327,0.0836,0.00148,0.149,0.523,104.035
Any Way the Wind Blows,The Cold Stares,7rYi1fmfdWnC2dZJ3acnoW,0.606,0.8,7,-7.345,1,0.049,0.000633,0.000201,0.242,0.631,85.976
Gotta Be Movin’,The Record Company,2ftfB3ZY1c6jHEYRgRXrB9,0.487,0.865,7,-5.198,0,0.0358,0.00258,0.0194,0.0888,0.585,181.806
Click Click Domino (feat. Marcus King),Ida Mae,5SefpS9fNKmduJWxxqH0tA,0.465,0.751,2,-5.801,1,0.126,0.279,0.00764,0.208,0.618,149.501
Ride,Tyler Bryant & the Shakedown,0FwmAMxNdTC515HY3lexJR,0.482,0.845,1,-5.2,0,0.0328,0.0612,0.000719,0.357,0.698,175.774
