,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2459,0.392,0.594,5,-11.059,1,0.0444,0.19,9.48e-05,0.149,0.304,88.647
2460,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515
2461,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962
2462,0.517,0.464,11,-8.721,0,0.0245,0.0394,0.000387,0.154,0.161,92.985
2463,0.198,0.741,6,-6.764,1,0.0328,0.294,0.613,0.934,0.41,154.794
2464,0.545,0.552,0,-9.351,1,0.0346,0.127,0.0,0.118,0.243,95.166
2465,0.513,0.69,7,-8.545,1,0.0425,0.0997,0.19,0.0967,0.564,161.693
2466,0.452,0.507,8,-11.49,1,0.0334,0.364,0.00422,0.175,0.513,130.584
2467,0.665,0.442,4,-13.547,0,0.0314,0.541,0.582,0.155,0.818,128.808
2468,0.241,0.367,7,-7.95,1,0.0311,0.844,0.00279,0.0873,0.302,135.267
2469,0.603,0.621,2,-7.14,1,0.0267,0.328,3.49e-05,0.119,0.7,94.022
2470,0.219,0.0283,2,-29.83,0,0.0357,0.933,0.827,0.132,0.0828,57.394
2471,0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068
2472,0.421,0.0154,4,-28.787,0,0.053,0.994,0.915,0.0801,0.0482,68.42
2473,0.0667,0.0905,1,-29.26,0,0.0482,0.902,0.935,0.11,0.0372,60.361
2474,0.241,0.0695,7,-21.218,1,0.0439,0.986,0.00686,0.0863,0.0374,169.846
2475,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012
2476,0.317,0.0436,0,-29.086,1,0.0317,0.891,0.922,0.157,0.0396,89.651
2477,0.336,0.47,7,-10.541,0,0.0319,0.378,0.00332,0.0953,0.163,154.649
2478,0.441,0.563,9,-5.252,0,0.0288,0.0981,9.78e-05,0.221,0.282,182.704
2479,0.387,0.452,3,-6.966,1,0.0303,0.324,0.0,0.127,0.331,140.709
2480,0.27,0.146,10,-25.09,1,0.0326,0.98,0.888,0.101,0.084,139.983
2481,0.271,0.318,5,-9.464,1,0.0357,0.535,4.98e-05,0.109,0.231,133.147
2482,0.278,0.95,6,-2.796,1,0.114,0.0012,0.0174,0.117,0.291,163.877
2483,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302
2484,0.321,0.416,11,-8.935,0,0.0343,0.266,3.02e-05,0.106,0.151,114.594
2485,0.436,0.534,1,-9.416,0,0.0773,0.103,0.00643,0.507,0.325,122.822
2486,0.735,0.403,4,-11.599,0,0.037,0.139,0.473,0.107,0.453,115.658
2487,0.581,0.0549,10,-20.514,0,0.0397,0.559,0.0,0.0718,0.234,152.037
2488,0.368,0.184,8,-24.285,1,0.0535,0.952,0.903,0.113,0.0932,79.008
2489,0.387,0.595,2,-5.67,1,0.0389,0.361,1.1e-05,0.174,0.151,119.38
2490,0.497,0.0371,6,-26.201,0,0.0332,0.946,0.133,0.174,0.0386,102.734
2491,0.457,0.308,0,-11.474,1,0.0398,0.309,1.64e-06,0.107,0.271,103.11
2492,0.383,0.224,2,-16.99,1,0.0274,0.768,0.0,0.087,0.466,102.94
2493,0.529,0.458,11,-8.689,0,0.0452,0.00573,0.00758,0.172,0.0892,114.018
2494,0.685,0.267,9,-11.609,1,0.0381,0.909,0.00511,0.105,0.338,131.057
2495,0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734
2496,0.529,0.149,5,-15.795,1,0.0257,0.951,0.0759,0.153,0.178,86.921
